Date,SiteName,LocationName,WeekDay,TotalCount,Recording_ID
2015-01-21,York,Parliament Street at M&S,Wednesday,13983,988132
2015-01-21,York,Stonegate,Wednesday,8635,181992
2015-01-22,York,Church Street,Thursday,3037,934332
2015-01-22,York,Coney Street,Thursday,16404,527827
2015-01-22,York,Micklegate,Thursday,5587,813872
2015-01-22,York,Parliament Street at M&S,Thursday,16001,340889
2015-01-22,York,Stonegate,Thursday,10679,81481
2015-01-23,York,Church Street,Friday,3857,170900
2015-01-23,York,Coney Street,Friday,18514,553906
2015-01-23,York,Micklegate,Friday,6764,461067
2015-01-23,York,Parliament Street at M&S,Friday,22023,627917
2015-01-23,York,Stonegate,Friday,14591,472924
2015-01-24,York,Church Street,Saturday,4406,609445
2015-01-24,York,Coney Street,Saturday,33203,46943
2015-01-24,York,Micklegate,Saturday,10150,251005
2015-01-24,York,Parliament Street at M&S,Saturday,33312,731793
2015-01-24,York,Stonegate,Saturday,31009,239831
2015-01-25,York,Church Street,Sunday,2980,597164
2015-01-25,York,Coney Street,Sunday,18850,481521
2015-01-25,York,Micklegate,Sunday,4965,492757
2015-01-25,York,Parliament Street at M&S,Sunday,12955,84117
2015-01-25,York,Stonegate,Sunday,16669,629610
2015-02-01,York,Church Street,Sunday,3303,842343
2015-02-01,York,Coney Street,Sunday,20947,265707
2015-02-01,York,Micklegate,Sunday,5686,790329
2015-02-01,York,Parliament Street at M&S,Sunday,13433,91694
2015-02-01,York,Stonegate,Sunday,16977,438851
2015-01-26,York,Church Street,Monday,3252,251528
2015-01-26,York,Coney Street,Monday,17497,240100
2015-01-26,York,Micklegate,Monday,5105,87479
2015-01-26,York,Parliament Street at M&S,Monday,15686,581506
2015-01-26,York,Stonegate,Monday,11067,488676
2015-01-27,York,Church Street,Tuesday,3286,525254
2015-01-27,York,Coney Street,Tuesday,17165,190630
2015-01-27,York,Micklegate,Tuesday,5008,981913
2015-01-27,York,Parliament Street at M&S,Tuesday,15389,170159
2015-01-27,York,Stonegate,Tuesday,10578,306544
2015-01-28,York,Church Street,Wednesday,2924,258468
2015-01-28,York,Coney Street,Wednesday,14793,994563
2015-01-28,York,Micklegate,Wednesday,4971,507372
2015-01-28,York,Parliament Street at M&S,Wednesday,13988,969318
2015-01-28,York,Stonegate,Wednesday,9082,552654
2015-01-29,York,Church Street,Thursday,3296,785000
2015-01-29,York,Coney Street,Thursday,14815,236179
2015-01-29,York,Micklegate,Thursday,5318,557216
2015-01-29,York,Parliament Street at M&S,Thursday,13390,178898
2015-01-29,York,Stonegate,Thursday,9383,611442
2015-01-30,York,Church Street,Friday,3606,763071
2015-01-30,York,Coney Street,Friday,20277,831120
2015-01-30,York,Micklegate,Friday,7718,187470
2015-01-30,York,Parliament Street at M&S,Friday,25312,532625
2015-01-30,York,Stonegate,Friday,14928,165335
2015-01-31,York,Church Street,Saturday,4970,660232
2015-01-31,York,Coney Street,Saturday,35132,333273
2015-01-31,York,Micklegate,Saturday,10072,157084
2015-01-31,York,Parliament Street at M&S,Saturday,28842,899066
2015-01-31,York,Stonegate,Saturday,30578,878873
2015-02-02,York,Church Street,Monday,2753,255267
2015-02-02,York,Coney Street,Monday,18183,609232
2015-02-02,York,Micklegate,Monday,4674,693178
2015-02-02,York,Parliament Street at M&S,Monday,22538,421621
2015-02-02,York,Stonegate,Monday,10063,813898
2015-02-03,York,Church Street,Tuesday,2608,311652
2015-02-03,York,Coney Street,Tuesday,17320,317634
2015-02-03,York,Micklegate,Tuesday,5353,697386
2015-02-03,York,Parliament Street at M&S,Tuesday,20170,179686
2015-02-03,York,Stonegate,Tuesday,10230,703797
2015-02-04,York,Church Street,Wednesday,2809,401106
2015-02-04,York,Coney Street,Wednesday,16806,698477
2015-02-04,York,Micklegate,Wednesday,5655,804781
2015-02-04,York,Parliament Street at M&S,Wednesday,18782,114789
2015-02-04,York,Stonegate,Wednesday,10279,422126
2015-02-05,York,Church Street,Thursday,3097,619321
2015-02-05,York,Coney Street,Thursday,16941,697623
2015-02-05,York,Micklegate,Thursday,5264,654340
2015-02-05,York,Parliament Street at M&S,Thursday,15812,154551
2015-02-05,York,Stonegate,Thursday,11088,368866
2015-02-06,York,Church Street,Friday,3121,532477
2015-02-06,York,Coney Street,Friday,20229,859578
2015-02-06,York,Micklegate,Friday,8019,290467
2015-02-06,York,Parliament Street at M&S,Friday,28764,637357
2015-02-06,York,Stonegate,Friday,15293,NA
2015-02-07,York,Church Street,Saturday,4613,641232
2015-02-07,York,Coney Street,Saturday,33806,73602
2015-02-07,York,Micklegate,Saturday,10331,355347
2015-02-07,York,Parliament Street at M&S,Saturday,31708,372939
2015-02-07,York,Stonegate,Saturday,26088,4073
2015-02-08,York,Church Street,Sunday,2515,260962
2015-02-08,York,Coney Street,Sunday,20764,933258
2015-02-08,York,Micklegate,Sunday,6282,548407
2015-02-08,York,Parliament Street at M&S,Sunday,20041,132600
2015-02-08,York,Stonegate,Sunday,17433,295836
2015-02-09,York,Church Street,Monday,3443,927696
2015-02-09,York,Coney Street,Monday,18516,560054
2015-02-09,York,Micklegate,Monday,6486,321518
2015-02-09,York,Parliament Street at M&S,Monday,24109,659381
2015-02-09,York,Stonegate,Monday,11154,281223
2015-02-10,York,Church Street,Tuesday,3212,755289
2015-02-10,York,Coney Street,Tuesday,18439,187544
2015-02-10,York,Micklegate,Tuesday,5405,696229
2015-02-10,York,Parliament Street at M&S,Tuesday,15869,352830
2015-02-10,York,Stonegate,Tuesday,10811,621890
2015-02-11,York,Church Street,Wednesday,3695,620155
2015-02-11,York,Coney Street,Wednesday,20113,522685
2015-02-11,York,Micklegate,Wednesday,5689,106829
2015-02-11,York,Parliament Street at M&S,Wednesday,15914,25205
2015-02-11,York,Stonegate,Wednesday,11818,948444
2015-02-12,York,Church Street,Thursday,3446,507461
2015-02-12,York,Coney Street,Thursday,20736,965990
2015-02-12,York,Micklegate,Thursday,5610,563328
2015-02-12,York,Parliament Street at M&S,Thursday,16858,525672
2015-02-12,York,Stonegate,Thursday,11984,173318
2015-02-13,York,Church Street,Friday,3151,578532
2015-02-13,York,Coney Street,Friday,23039,261123
2015-02-13,York,Micklegate,Friday,7532,206293
2015-02-13,York,Parliament Street at M&S,Friday,20741,554114
2015-02-13,York,Stonegate,Friday,16077,589162
2015-02-14,York,Church Street,Saturday,3011,436880
2015-02-14,York,Coney Street,Saturday,35356,134484
2015-02-14,York,Micklegate,Saturday,9935,114379
2015-02-14,York,Parliament Street at M&S,Saturday,36148,311632
2015-02-14,York,Stonegate,Saturday,34532,75639
2015-02-15,York,Church Street,Sunday,1781,278460
2015-02-15,York,Coney Street,Sunday,20644,751065
2015-02-15,York,Micklegate,Sunday,6432,188142
2015-02-15,York,Parliament Street at M&S,Sunday,22152,250385
2015-02-15,York,Stonegate,Sunday,20323,802775
2015-02-16,York,Church Street,Monday,2298,922361
2015-02-16,York,Coney Street,Monday,25898,806449
2015-02-16,York,Micklegate,Monday,7259,669551
2015-02-16,York,Parliament Street at M&S,Monday,21630,121580
2015-02-16,York,Stonegate,Monday,18911,912056
2015-02-17,York,Church Street,Tuesday,2553,303497
2015-02-17,York,Coney Street,Tuesday,27350,985255
2015-02-17,York,Micklegate,Tuesday,7872,719752
2015-02-17,York,Parliament Street at M&S,Tuesday,40784,442773
2015-02-17,York,Stonegate,Tuesday,20475,4164
2015-02-18,York,Church Street,Wednesday,2460,341249
2015-02-18,York,Coney Street,Wednesday,28045,665590
2015-02-18,York,Micklegate,Wednesday,7884,217279
2015-02-18,York,Parliament Street at M&S,Wednesday,29188,190707
2015-02-18,York,Stonegate,Wednesday,22146,972177
2015-02-19,York,Church Street,Thursday,2166,74978
2015-02-19,York,Coney Street,Thursday,24442,251929
2015-02-19,York,Micklegate,Thursday,7750,413383
2015-02-19,York,Parliament Street at M&S,Thursday,23830,585678
2015-02-19,York,Stonegate,Thursday,20086,755853
2015-02-20,York,Church Street,Friday,3294,163021
2015-02-20,York,Coney Street,Friday,29899,164853
2015-02-20,York,Micklegate,Friday,8762,193463
2015-02-20,York,Parliament Street at M&S,Friday,34922,185545
2015-02-20,York,Stonegate,Friday,24989,9703
2015-02-21,York,Church Street,Saturday,3328,399267
2015-02-21,York,Coney Street,Saturday,35964,638361
2015-02-21,York,Micklegate,Saturday,10917,732459
2015-02-21,York,Parliament Street at M&S,Saturday,44456,667444
2015-02-21,York,Stonegate,Saturday,34796,47048
2015-02-22,York,Church Street,Sunday,1955,420085
2015-02-22,York,Coney Street,Sunday,14245,593440
